timestamp,logical_clock_time,queue_length,event_type
1678137856.76413,1,0,Send
1678137857.7718232,2,2,Received
1678137858.7796202,4,1,Received
1678137859.7824798,5,2,Received
1678137860.790793,15,6,Received
1678137861.798951,16,9,Received
1678137862.806995,17,10,Received
1678137863.814272,20,10,Received
1678137864.817642,21,10,Received
1678137865.8242922,22,11,Received
1678137866.832146,23,11,Received
1678137867.839403,24,13,Received
1678137868.842627,26,16,Received
1678137869.845937,27,16,Received
1678137870.851321,28,18,Received
1678137871.854105,34,21,Received
1678137872.8597279,35,24,Received
1678137873.861682,38,27,Received
1678137874.8679512,44,29,Received
1678137875.873933,50,30,Received
1678137876.880897,51,32,Received
1678137877.885299,57,33,Received
1678137878.8937469,61,36,Received
1678137879.8980029,63,39,Received
1678137880.899254,65,40,Received
1678137881.9047492,67,42,Received
1678137882.91143,68,42,Received
1678137883.91753,69,43,Received
1678137884.922719,70,46,Received
1678137885.9299579,72,48,Received
1678137886.931843,77,50,Received
1678137887.937419,79,50,Received
1678137888.944843,81,53,Received
1678137889.948677,84,54,Received
1678137890.9546812,85,54,Received
1678137891.9615302,86,58,Received
1678137892.967096,88,61,Received
1678137893.973504,89,65,Received
1678137894.980563,90,65,Received
1678137895.9884748,91,67,Received
1678137896.9949949,94,67,Received
1678137898.0008361,95,69,Received
1678137899.00807,96,71,Received
1678137900.011734,97,72,Received
1678137901.0185118,99,72,Received
1678137902.025716,101,74,Received
1678137903.031893,103,73,Received
1678137904.034802,104,76,Received
1678137905.039755,107,80,Received
1678137906.0428631,110,80,Received
1678137907.049048,113,81,Received
1678137908.05088,114,83,Received
1678137909.057428,115,83,Received
1678137910.060277,121,85,Received
1678137911.066696,122,88,Received
1678137912.068906,125,92,Received
1678137913.0764549,127,94,Received
1678137914.0784352,128,94,Received
1678137915.081404,129,94,Received
1678137916.087403,130,96,Received
