INFO:root:Clock Speed: 1
INFO:root:Internal Event: System Time - 1678080127.501162, Logical Clock Time - 1
INFO:root:Received Message: System Time - 1678080128.506102, Logical Clock Time - 2, Queue Length - 0, Message - [machine 0, task 1] the time is 4
INFO:root:Received Message: System Time - 1678080129.509471, Logical Clock Time - 3, Queue Length - 2, Message - [machine 0, task 3] the time is 7
INFO:root:Received Message: System Time - 1678080130.5110312, Logical Clock Time - 4, Queue Length - 2, Message - [machine 0, task 3] the time is 10
INFO:root:Received Message: System Time - 1678080131.5157278, Logical Clock Time - 5, Queue Length - 1, Message - [machine 0, task 1] the time is 11
INFO:root:Received Message: System Time - 1678080132.516629, Logical Clock Time - 6, Queue Length - 2, Message - [machine 0, task 1] the time is 15
INFO:root:Received Message: System Time - 1678080133.5218098, Logical Clock Time - 7, Queue Length - 2, Message - [machine 0, task 1] the time is 26
INFO:root:Received Message: System Time - 1678080134.525826, Logical Clock Time - 8, Queue Length - 3, Message - [machine 0, task 3] the time is 28
INFO:root:Received Message: System Time - 1678080135.531283, Logical Clock Time - 9, Queue Length - 2, Message - [machine 0, task 3] the time is 32
INFO:root:Received Message: System Time - 1678080136.5357702, Logical Clock Time - 10, Queue Length - 3, Message - [machine 0, task 3] the time is 36
INFO:root:Received Message: System Time - 1678080137.541196, Logical Clock Time - 11, Queue Length - 4, Message - [machine 0, task 3] the time is 39
INFO:root:Received Message: System Time - 1678080138.547505, Logical Clock Time - 12, Queue Length - 4, Message - [machine 0, task 3] the time is 51
INFO:root:Received Message: System Time - 1678080139.551754, Logical Clock Time - 13, Queue Length - 5, Message - [machine 0, task 3] the time is 52
INFO:root:Received Message: System Time - 1678080140.553647, Logical Clock Time - 14, Queue Length - 4, Message - [machine 0, task 3] the time is 56
INFO:root:Received Message: System Time - 1678080141.5570948, Logical Clock Time - 15, Queue Length - 4, Message - [machine 0, task 1] the time is 58
INFO:root:Received Message: System Time - 1678080142.563027, Logical Clock Time - 16, Queue Length - 4, Message - [machine 0, task 1] the time is 63
INFO:root:Received Message: System Time - 1678080143.565705, Logical Clock Time - 17, Queue Length - 4, Message - [machine 0, task 3] the time is 67
INFO:root:Received Message: System Time - 1678080144.568426, Logical Clock Time - 18, Queue Length - 4, Message - [machine 0, task 3] the time is 70
INFO:root:Received Message: System Time - 1678080145.574548, Logical Clock Time - 19, Queue Length - 4, Message - [machine 0, task 3] the time is 79
INFO:root:Received Message: System Time - 1678080146.580731, Logical Clock Time - 20, Queue Length - 5, Message - [machine 0, task 3] the time is 82
INFO:root:Received Message: System Time - 1678080147.586575, Logical Clock Time - 21, Queue Length - 4, Message - [machine 0, task 1] the time is 93
INFO:root:Received Message: System Time - 1678080148.587939, Logical Clock Time - 22, Queue Length - 4, Message - [machine 0, task 3] the time is 94
INFO:root:Received Message: System Time - 1678080149.590745, Logical Clock Time - 23, Queue Length - 4, Message - [machine 0, task 3] the time is 100
INFO:root:Received Message: System Time - 1678080150.596689, Logical Clock Time - 24, Queue Length - 4, Message - [machine 0, task 1] the time is 109
INFO:root:Received Message: System Time - 1678080151.601771, Logical Clock Time - 25, Queue Length - 4, Message - [machine 0, task 3] the time is 110
INFO:root:Received Message: System Time - 1678080152.602591, Logical Clock Time - 26, Queue Length - 3, Message - [machine 0, task 1] the time is 118
INFO:root:Received Message: System Time - 1678080153.608573, Logical Clock Time - 27, Queue Length - 4, Message - [machine 0, task 1] the time is 125
INFO:root:Received Message: System Time - 1678080154.610357, Logical Clock Time - 28, Queue Length - 6, Message - [machine 0, task 3] the time is 129
INFO:root:Received Message: System Time - 1678080155.6142342, Logical Clock Time - 29, Queue Length - 7, Message - [machine 0, task 1] the time is 137
INFO:root:Received Message: System Time - 1678080156.6161401, Logical Clock Time - 30, Queue Length - 8, Message - [machine 0, task 3] the time is 148
INFO:root:Received Message: System Time - 1678080157.621891, Logical Clock Time - 31, Queue Length - 9, Message - [machine 0, task 3] the time is 152
INFO:root:Received Message: System Time - 1678080158.626882, Logical Clock Time - 32, Queue Length - 8, Message - [machine 0, task 3] the time is 155
