timestamp,logical_clock_time,queue_length,event_type
1678137385.8403,1,0,Internal
1678137386.8443148,2,1,Received
1678137387.8463948,5,1,Received
1678137388.8520918,8,1,Received
1678137389.858885,14,3,Received
1678137390.862251,21,4,Received
1678137391.866501,25,5,Received
1678137392.873893,26,6,Received
1678137393.877325,27,7,Received
1678137394.884117,32,6,Received
1678137395.8863108,39,8,Received
1678137396.893065,40,7,Received
1678137397.9005172,46,6,Received
1678137398.907555,48,7,Received
1678137399.914232,49,6,Received
1678137400.9187572,50,5,Received
1678137401.922341,61,7,Received
1678137402.927974,62,8,Received
1678137403.9297678,67,8,Received
1678137404.9362571,85,7,Received
1678137405.9417899,86,8,Received
1678137406.947287,103,9,Received
1678137407.9538848,106,9,Received
1678137408.9577641,107,10,Received
1678137409.9643168,114,11,Received
1678137410.970006,115,12,Received
1678137411.976728,118,13,Received
1678137412.9842088,133,14,Received
1678137413.985214,134,15,Received
1678137414.990814,137,17,Received
1678137415.997222,139,19,Received
1678137417.00286,148,20,Received
1678137418.010066,151,20,Received
1678137419.016583,152,20,Received
1678137420.0215528,160,20,Received
1678137421.0231419,161,20,Received
1678137422.028404,168,20,Received
1678137423.0353038,170,21,Received
1678137424.038551,171,22,Received
1678137425.0446029,173,23,Received
1678137426.050357,178,23,Received
1678137427.055636,180,24,Received
1678137428.05816,189,26,Received
1678137429.061431,190,28,Received
1678137430.068335,191,29,Received
1678137431.06929,194,30,Received
1678137432.082347,196,32,Received
1678137433.089354,198,33,Received
1678137434.09417,199,33,Received
1678137435.1011908,201,34,Received
1678137436.107287,205,33,Received
1678137437.1112928,209,34,Received
1678137438.114707,214,33,Received
1678137439.121384,220,34,Received
1678137440.127348,221,36,Received
1678137441.132972,222,39,Received
1678137442.138593,240,38,Received
1678137443.144955,246,38,Received
1678137444.147129,251,39,Received
1678137445.153198,253,39,Received
