timestamp,logical_clock_time,queue_length,event_type
1678138104.813523,1,0,Internal
1678138105.8214478,2,1,Received
1678138106.828615,5,3,Received
1678138107.835468,7,3,Received
1678138108.8431711,8,5,Received
1678138109.847202,13,4,Received
1678138110.853546,24,3,Received
1678138111.859858,32,4,Received
1678138112.862408,33,3,Received
1678138113.865552,34,4,Received
1678138114.872931,55,5,Received
1678138115.880317,58,5,Received
1678138116.884984,71,5,Received
1678138117.890281,73,5,Received
1678138118.8930109,81,6,Received
1678138119.899683,82,5,Received
1678138120.9031339,93,5,Received
1678138121.909618,98,5,Received
1678138122.914112,112,6,Received
1678138123.92027,116,6,Received
1678138124.926668,118,6,Received
1678138125.9348469,132,8,Received
1678138126.941493,141,8,Received
1678138127.9489322,150,7,Received
1678138128.953255,151,8,Received
1678138129.957825,157,8,Received
1678138130.9639292,167,8,Received
1678138131.9659488,179,8,Received
1678138132.970143,180,8,Received
1678138133.977498,181,8,Received
1678138134.981351,185,8,Received
1678138135.988202,201,9,Received
1678138136.995409,203,10,Received
1678138138.001882,204,10,Received
1678138139.0088918,221,10,Received
1678138140.013128,225,11,Received
1678138141.019624,235,11,Received
1678138142.027086,249,10,Received
1678138143.029396,250,9,Received
1678138144.0364,257,9,Received
1678138145.043672,262,8,Received
1678138146.046638,271,8,Received
1678138147.049713,272,10,Received
1678138148.055578,283,9,Received
1678138149.059362,291,11,Received
1678138150.0663838,298,10,Received
1678138151.073243,301,11,Received
1678138152.07673,307,12,Received
1678138153.084352,334,13,Received
1678138154.092043,347,13,Received
1678138155.097939,353,14,Received
1678138156.099099,357,13,Received
1678138157.1070871,360,13,Received
1678138158.1104598,374,13,Received
1678138159.114101,375,14,Received
1678138160.121624,376,13,Received
1678138161.126847,390,12,Received
1678138162.1327941,393,12,Received
1678138163.138549,400,13,Received
1678138164.145061,404,12,Received
