timestamp,logical_clock_time,queue_length,event_type
1678134569.398114,1,0,Internal
1678134569.903975,2,0,Internal
1678134570.411499,3,0,Send
1678134570.919509,4,0,Internal
1678134571.426987,5,0,Send
1678134571.934625,7,0,Received
1678134572.440554,8,0,Send
1678134572.947569,9,0,Internal
1678134573.4546828,12,0,Received
1678134573.958963,14,0,Received
1678134574.466648,15,0,Send
1678134574.973547,17,0,Received
1678134575.4758341,18,0,Internal
1678134575.9777129,19,0,Internal
1678134576.480107,20,0,Internal
1678134576.9874592,22,1,Received
1678134577.494154,23,2,Received
1678134578.001156,24,1,Received
1678134578.5052211,25,0,Received
1678134579.011115,26,0,Send
1678134579.515082,27,0,Send
1678134580.020627,28,0,Internal
1678134580.526238,29,0,Internal
1678134581.033232,30,0,Send
1678134581.5405812,31,0,Internal
1678134582.048217,38,0,Received
1678134582.557662,39,0,Internal
1678134583.0655758,40,0,Received
1678134583.5712209,41,0,Internal
1678134584.0771048,44,0,Received
1678134584.585013,45,0,Internal
1678134585.09308,47,0,Received
1678134585.595993,48,0,Internal
1678134586.099713,49,1,Received
1678134586.607512,50,0,Received
1678134587.1154282,53,0,Received
1678134587.6236238,54,0,Send
1678134588.128497,55,0,Send
1678134588.631933,57,0,Received
1678134589.140256,58,0,Received
1678134589.6468601,59,0,Internal
1678134590.154321,62,0,Received
1678134590.661854,63,0,Received
1678134591.169792,64,0,Internal
1678134591.6775548,65,0,Internal
1678134592.181695,66,0,Internal
1678134592.6896079,69,0,Received
1678134593.196897,70,1,Received
1678134593.704601,71,1,Received
1678134594.210695,72,1,Received
1678134594.71754,74,0,Received
1678134595.221372,75,0,Send
1678134595.728193,76,0,Internal
1678134596.2362518,80,0,Received
1678134596.73946,81,0,Internal
1678134597.245694,82,0,Internal
1678134597.749527,83,0,Internal
1678134598.257796,85,1,Received
1678134598.766002,86,1,Received
1678134599.271204,87,0,Received
1678134599.77876,88,0,Internal
1678134600.283658,89,0,Internal
1678134600.7884119,93,0,Received
1678134601.296052,94,0,Internal
1678134601.8035,95,0,Internal
1678134602.310494,98,1,Received
1678134602.815653,99,0,Received
1678134603.3216279,100,0,Received
1678134603.8289979,101,0,Internal
1678134604.3322701,102,0,Internal
1678134604.837597,105,0,Received
1678134605.343945,106,2,Received
1678134605.850139,107,1,Received
1678134606.353578,108,0,Received
1678134606.856139,109,0,Internal
1678134607.361536,113,0,Received
1678134607.8632278,114,0,Internal
1678134608.366691,115,0,Received
1678134608.872201,116,0,Internal
1678134609.379432,118,0,Received
1678134609.887451,119,0,Send
1678134610.395085,120,0,Internal
1678134610.898325,122,1,Received
1678134611.4052339,123,0,Received
1678134611.910101,124,0,Internal
1678134612.418187,127,1,Received
1678134612.921667,128,1,Received
1678134613.429024,129,0,Received
1678134613.93255,130,0,Internal
1678134614.438669,133,0,Received
1678134614.946387,134,1,Received
1678134615.454159,135,1,Received
1678134615.9617631,136,0,Received
1678134616.466305,137,0,Internal
1678134616.9685628,141,0,Received
1678134617.4721222,142,0,Send
1678134617.979968,144,0,Received
1678134618.4844532,145,0,Internal
1678134618.9886348,146,0,Internal
1678134619.496213,147,0,Internal
1678134619.9999108,149,0,Received
1678134620.50478,150,0,Internal
1678134621.0126028,151,0,Internal
1678134621.520405,152,0,Internal
1678134622.024974,155,1,Received
1678134622.528517,156,0,Received
1678134623.0346088,157,0,Send
1678134623.538553,158,0,Internal
1678134624.044676,162,1,Received
1678134624.547859,163,0,Received
1678134625.055676,164,0,Internal
1678134625.561645,166,0,Received
1678134626.069804,167,0,Received
1678134626.577342,168,0,Internal
1678134627.084793,171,0,Received
1678134627.592982,172,0,Internal
1678134628.100906,173,0,Internal
1678134628.606102,175,0,Received
1678134629.112214,176,0,Received
