INFO:root:Clock Speed: 1
INFO:root:Internal Event: System Time - 1678134148.338887, Logical Clock Time - 1, Queue Length - 0
INFO:root:Received Message: System Time - 1678134149.341154, Logical Clock Time - 2, Queue Length - 1
INFO:root:Received Message: System Time - 1678134150.346914, Logical Clock Time - 5, Queue Length - 1
INFO:root:Received Message: System Time - 1678134151.354487, Logical Clock Time - 7, Queue Length - 3
INFO:root:Received Message: System Time - 1678134152.362703, Logical Clock Time - 10, Queue Length - 4
INFO:root:Received Message: System Time - 1678134153.366816, Logical Clock Time - 12, Queue Length - 3
INFO:root:Received Message: System Time - 1678134154.374642, Logical Clock Time - 13, Queue Length - 3
INFO:root:Received Message: System Time - 1678134155.38071, Logical Clock Time - 17, Queue Length - 3
INFO:root:Received Message: System Time - 1678134156.383908, Logical Clock Time - 20, Queue Length - 4
INFO:root:Received Message: System Time - 1678134157.39043, Logical Clock Time - 29, Queue Length - 4
INFO:root:Received Message: System Time - 1678134158.398324, Logical Clock Time - 30, Queue Length - 3
INFO:root:Received Message: System Time - 1678134159.4009018, Logical Clock Time - 34, Queue Length - 6
INFO:root:Received Message: System Time - 1678134160.406225, Logical Clock Time - 36, Queue Length - 6
INFO:root:Received Message: System Time - 1678134161.413595, Logical Clock Time - 43, Queue Length - 7
INFO:root:Received Message: System Time - 1678134162.420544, Logical Clock Time - 50, Queue Length - 7
INFO:root:Received Message: System Time - 1678134163.426909, Logical Clock Time - 52, Queue Length - 7
INFO:root:Received Message: System Time - 1678134164.431576, Logical Clock Time - 53, Queue Length - 9
INFO:root:Received Message: System Time - 1678134165.4385998, Logical Clock Time - 54, Queue Length - 10
INFO:root:Received Message: System Time - 1678134166.4457989, Logical Clock Time - 55, Queue Length - 10
INFO:root:Received Message: System Time - 1678134167.453036, Logical Clock Time - 62, Queue Length - 10
INFO:root:Received Message: System Time - 1678134168.455081, Logical Clock Time - 63, Queue Length - 9
INFO:root:Received Message: System Time - 1678134169.463198, Logical Clock Time - 65, Queue Length - 8
INFO:root:Received Message: System Time - 1678134170.468523, Logical Clock Time - 67, Queue Length - 8
INFO:root:Received Message: System Time - 1678134171.4715788, Logical Clock Time - 75, Queue Length - 8
INFO:root:Received Message: System Time - 1678134172.4755452, Logical Clock Time - 76, Queue Length - 8
INFO:root:Received Message: System Time - 1678134173.482699, Logical Clock Time - 79, Queue Length - 8
INFO:root:Received Message: System Time - 1678134174.4896472, Logical Clock Time - 80, Queue Length - 8
INFO:root:Received Message: System Time - 1678134175.496499, Logical Clock Time - 81, Queue Length - 8
INFO:root:Received Message: System Time - 1678134176.503349, Logical Clock Time - 87, Queue Length - 7
INFO:root:Received Message: System Time - 1678134177.5105019, Logical Clock Time - 89, Queue Length - 7
INFO:root:Received Message: System Time - 1678134178.514125, Logical Clock Time - 105, Queue Length - 7
INFO:root:Received Message: System Time - 1678134179.52118, Logical Clock Time - 113, Queue Length - 8
INFO:root:Received Message: System Time - 1678134180.5293021, Logical Clock Time - 114, Queue Length - 10
INFO:root:Received Message: System Time - 1678134181.537104, Logical Clock Time - 119, Queue Length - 14
INFO:root:Received Message: System Time - 1678134182.543982, Logical Clock Time - 124, Queue Length - 16
INFO:root:Received Message: System Time - 1678134183.547843, Logical Clock Time - 129, Queue Length - 16
INFO:root:Received Message: System Time - 1678134184.555192, Logical Clock Time - 141, Queue Length - 16
INFO:root:Received Message: System Time - 1678134185.5628748, Logical Clock Time - 145, Queue Length - 16
INFO:root:Received Message: System Time - 1678134186.5710888, Logical Clock Time - 150, Queue Length - 17
INFO:root:Received Message: System Time - 1678134187.579398, Logical Clock Time - 152, Queue Length - 16
INFO:root:Received Message: System Time - 1678134188.582106, Logical Clock Time - 154, Queue Length - 16
INFO:root:Received Message: System Time - 1678134189.5860748, Logical Clock Time - 155, Queue Length - 16
INFO:root:Received Message: System Time - 1678134190.592681, Logical Clock Time - 156, Queue Length - 16
INFO:root:Received Message: System Time - 1678134191.595742, Logical Clock Time - 158, Queue Length - 15
INFO:root:Received Message: System Time - 1678134192.599628, Logical Clock Time - 159, Queue Length - 14
INFO:root:Received Message: System Time - 1678134193.607418, Logical Clock Time - 161, Queue Length - 14
INFO:root:Received Message: System Time - 1678134194.615615, Logical Clock Time - 162, Queue Length - 13
INFO:root:Received Message: System Time - 1678134195.623074, Logical Clock Time - 163, Queue Length - 14
INFO:root:Received Message: System Time - 1678134196.6307101, Logical Clock Time - 164, Queue Length - 13
INFO:root:Received Message: System Time - 1678134197.6350248, Logical Clock Time - 166, Queue Length - 12
INFO:root:Received Message: System Time - 1678134198.643164, Logical Clock Time - 167, Queue Length - 13
INFO:root:Received Message: System Time - 1678134199.647897, Logical Clock Time - 168, Queue Length - 14
INFO:root:Received Message: System Time - 1678134200.655097, Logical Clock Time - 175, Queue Length - 16
INFO:root:Received Message: System Time - 1678134201.663247, Logical Clock Time - 177, Queue Length - 16
INFO:root:Received Message: System Time - 1678134202.670719, Logical Clock Time - 182, Queue Length - 15
INFO:root:Received Message: System Time - 1678134203.6784341, Logical Clock Time - 184, Queue Length - 14
INFO:root:Received Message: System Time - 1678134204.685983, Logical Clock Time - 194, Queue Length - 14
INFO:root:Received Message: System Time - 1678134205.692895, Logical Clock Time - 197, Queue Length - 14
INFO:root:Received Message: System Time - 1678134206.698524, Logical Clock Time - 205, Queue Length - 13
INFO:root:Received Message: System Time - 1678134207.706392, Logical Clock Time - 218, Queue Length - 12
