INFO:root:Clock Speed: 2
INFO:root:Received Message: System Time - 1678137695.5291789, Logical Clock Time - 93, Queue Length - 6
INFO:root:Received Message: System Time - 1678137696.0371652, Logical Clock Time - 94, Queue Length - 6
INFO:root:Received Message: System Time - 1678137696.545408, Logical Clock Time - 95, Queue Length - 6
INFO:root:Received Message: System Time - 1678137697.051025, Logical Clock Time - 96, Queue Length - 6
INFO:root:Received Message: System Time - 1678137697.5590148, Logical Clock Time - 97, Queue Length - 6
INFO:root:Received Message: System Time - 1678137698.066684, Logical Clock Time - 98, Queue Length - 6
INFO:root:Received Message: System Time - 1678137698.57333, Logical Clock Time - 100, Queue Length - 5
INFO:root:Received Message: System Time - 1678137699.0804758, Logical Clock Time - 105, Queue Length - 6
INFO:root:Received Message: System Time - 1678137699.588351, Logical Clock Time - 106, Queue Length - 6
INFO:root:Received Message: System Time - 1678137700.096461, Logical Clock Time - 107, Queue Length - 7
INFO:root:Received Message: System Time - 1678137700.603742, Logical Clock Time - 109, Queue Length - 7
INFO:root:Received Message: System Time - 1678137701.111205, Logical Clock Time - 111, Queue Length - 8
INFO:root:Received Message: System Time - 1678137701.6184719, Logical Clock Time - 113, Queue Length - 8
INFO:root:Received Message: System Time - 1678137702.1216729, Logical Clock Time - 114, Queue Length - 8
INFO:root:Received Message: System Time - 1678137702.6270552, Logical Clock Time - 115, Queue Length - 8
INFO:root:Received Message: System Time - 1678137703.1351721, Logical Clock Time - 116, Queue Length - 8
INFO:root:Received Message: System Time - 1678137703.643451, Logical Clock Time - 117, Queue Length - 8
INFO:root:Received Message: System Time - 1678137704.1476429, Logical Clock Time - 118, Queue Length - 9
INFO:root:Received Message: System Time - 1678137704.65451, Logical Clock Time - 119, Queue Length - 9
INFO:root:Received Message: System Time - 1678137705.161914, Logical Clock Time - 120, Queue Length - 10
INFO:root:Received Message: System Time - 1678137705.667642, Logical Clock Time - 121, Queue Length - 10
INFO:root:Received Message: System Time - 1678137706.171944, Logical Clock Time - 123, Queue Length - 10
INFO:root:Received Message: System Time - 1678137706.679908, Logical Clock Time - 124, Queue Length - 10
INFO:root:Received Message: System Time - 1678137707.185631, Logical Clock Time - 126, Queue Length - 10
INFO:root:Received Message: System Time - 1678137707.693258, Logical Clock Time - 127, Queue Length - 9
INFO:root:Received Message: System Time - 1678137708.1990132, Logical Clock Time - 128, Queue Length - 9
INFO:root:Received Message: System Time - 1678137708.70184, Logical Clock Time - 129, Queue Length - 9
INFO:root:Received Message: System Time - 1678137709.209126, Logical Clock Time - 130, Queue Length - 10
INFO:root:Received Message: System Time - 1678137709.714617, Logical Clock Time - 131, Queue Length - 10
INFO:root:Received Message: System Time - 1678137710.218198, Logical Clock Time - 132, Queue Length - 10
INFO:root:Received Message: System Time - 1678137710.726033, Logical Clock Time - 133, Queue Length - 10
INFO:root:Received Message: System Time - 1678137711.233705, Logical Clock Time - 134, Queue Length - 11
INFO:root:Received Message: System Time - 1678137711.741227, Logical Clock Time - 136, Queue Length - 10
INFO:root:Received Message: System Time - 1678137712.2441092, Logical Clock Time - 138, Queue Length - 10
INFO:root:Received Message: System Time - 1678137712.751607, Logical Clock Time - 140, Queue Length - 10
INFO:root:Received Message: System Time - 1678137713.2590961, Logical Clock Time - 142, Queue Length - 10
INFO:root:Received Message: System Time - 1678137713.762388, Logical Clock Time - 143, Queue Length - 9
INFO:root:Received Message: System Time - 1678137714.266528, Logical Clock Time - 144, Queue Length - 9
INFO:root:Received Message: System Time - 1678137714.7692008, Logical Clock Time - 145, Queue Length - 9
INFO:root:Received Message: System Time - 1678137715.276795, Logical Clock Time - 147, Queue Length - 9
INFO:root:Received Message: System Time - 1678137715.7814, Logical Clock Time - 148, Queue Length - 9
INFO:root:Received Message: System Time - 1678137716.289634, Logical Clock Time - 149, Queue Length - 9
INFO:root:Received Message: System Time - 1678137716.797717, Logical Clock Time - 150, Queue Length - 10
INFO:root:Received Message: System Time - 1678137717.3038878, Logical Clock Time - 153, Queue Length - 10
INFO:root:Received Message: System Time - 1678137717.8102431, Logical Clock Time - 154, Queue Length - 11
INFO:root:Received Message: System Time - 1678137718.3179278, Logical Clock Time - 155, Queue Length - 11
INFO:root:Received Message: System Time - 1678137718.821544, Logical Clock Time - 159, Queue Length - 10
INFO:root:Received Message: System Time - 1678137719.329512, Logical Clock Time - 160, Queue Length - 10
INFO:root:Received Message: System Time - 1678137719.838044, Logical Clock Time - 161, Queue Length - 10
INFO:root:Received Message: System Time - 1678137720.343385, Logical Clock Time - 163, Queue Length - 10
