INFO:root:Clock Speed: 3
INFO:root:Sent Message: System Time - 1678137677.231838, Logical Clock Time - 50, Queue Length - 0, Message - [machine 1, task 3] the time is 49
INFO:root:Sent Message: System Time - 1678137677.5733309, Logical Clock Time - 51, Queue Length - 0, Message - [machine 1, task 2] the time is 50
INFO:root:Sent Message: System Time - 1678137677.9099479, Logical Clock Time - 52, Queue Length - 0, Message - [machine 1, task 1] the time is 51
INFO:root:Sent Message: System Time - 1678137678.25106, Logical Clock Time - 53, Queue Length - 0, Message - [machine 1, task 2] the time is 52
INFO:root:Sent Message: System Time - 1678137678.5925288, Logical Clock Time - 54, Queue Length - 0, Message - [machine 1, task 3] the time is 53
INFO:root:Sent Message: System Time - 1678137678.9326808, Logical Clock Time - 55, Queue Length - 0, Message - [machine 1, task 3] the time is 54
INFO:root:Sent Message: System Time - 1678137679.271714, Logical Clock Time - 56, Queue Length - 0, Message - [machine 1, task 3] the time is 55
INFO:root:Sent Message: System Time - 1678137679.6129658, Logical Clock Time - 57, Queue Length - 0, Message - [machine 1, task 1] the time is 56
INFO:root:Sent Message: System Time - 1678137679.951586, Logical Clock Time - 58, Queue Length - 0, Message - [machine 1, task 1] the time is 57
INFO:root:Sent Message: System Time - 1678137680.292864, Logical Clock Time - 59, Queue Length - 0, Message - [machine 1, task 2] the time is 58
INFO:root:Sent Message: System Time - 1678137680.633078, Logical Clock Time - 60, Queue Length - 0, Message - [machine 1, task 1] the time is 59
INFO:root:Sent Message: System Time - 1678137680.973227, Logical Clock Time - 61, Queue Length - 0, Message - [machine 1, task 2] the time is 60
INFO:root:Sent Message: System Time - 1678137681.308885, Logical Clock Time - 62, Queue Length - 0, Message - [machine 1, task 2] the time is 61
INFO:root:Sent Message: System Time - 1678137681.647121, Logical Clock Time - 63, Queue Length - 0, Message - [machine 1, task 3] the time is 62
INFO:root:Sent Message: System Time - 1678137681.986251, Logical Clock Time - 64, Queue Length - 0, Message - [machine 1, task 2] the time is 63
INFO:root:Sent Message: System Time - 1678137682.3520598, Logical Clock Time - 65, Queue Length - 0, Message - [machine 1, task 3] the time is 64
INFO:root:Sent Message: System Time - 1678137682.689357, Logical Clock Time - 66, Queue Length - 0, Message - [machine 1, task 3] the time is 65
INFO:root:Sent Message: System Time - 1678137683.02668, Logical Clock Time - 67, Queue Length - 0, Message - [machine 1, task 3] the time is 66
INFO:root:Sent Message: System Time - 1678137683.368319, Logical Clock Time - 68, Queue Length - 0, Message - [machine 1, task 1] the time is 67
INFO:root:Sent Message: System Time - 1678137683.708946, Logical Clock Time - 69, Queue Length - 0, Message - [machine 1, task 2] the time is 68
INFO:root:Sent Message: System Time - 1678137684.045432, Logical Clock Time - 70, Queue Length - 0, Message - [machine 1, task 3] the time is 69
INFO:root:Sent Message: System Time - 1678137684.386359, Logical Clock Time - 71, Queue Length - 0, Message - [machine 1, task 3] the time is 70
INFO:root:Sent Message: System Time - 1678137684.726597, Logical Clock Time - 72, Queue Length - 0, Message - [machine 1, task 1] the time is 71
INFO:root:Sent Message: System Time - 1678137685.067543, Logical Clock Time - 73, Queue Length - 0, Message - [machine 1, task 3] the time is 72
INFO:root:Sent Message: System Time - 1678137685.40496, Logical Clock Time - 74, Queue Length - 0, Message - [machine 1, task 2] the time is 73
INFO:root:Sent Message: System Time - 1678137685.745143, Logical Clock Time - 75, Queue Length - 0, Message - [machine 1, task 1] the time is 74
INFO:root:Sent Message: System Time - 1678137686.084699, Logical Clock Time - 76, Queue Length - 0, Message - [machine 1, task 3] the time is 75
