timestamp,logical_clock_time,queue_length,event_type
1678166014.516524,1,0,Internal
1678166015.5228002,5,1,Received
1678166016.524889,6,1,Received
1678166017.53167,11,0,Received
1678166018.5389361,30,0,Received
1678166019.5434082,32,4,Received
1678166020.549952,33,4,Received
1678166021.5558872,34,6,Received
1678166022.5600839,38,8,Received
1678166023.5657191,39,9,Received
1678166024.584878,47,12,Received
1678166025.590071,49,17,Received
1678166026.591844,52,18,Received
1678166027.594696,53,22,Received
1678166028.624949,57,24,Received
1678166029.631808,61,26,Received
1678166030.6345458,62,26,Received
1678166031.6424162,65,30,Received
1678166032.6467142,67,30,Received
1678166033.654068,72,33,Received
1678166034.661979,73,34,Received
1678166035.666243,74,36,Received
1678166036.6729221,75,40,Received
1678166037.68044,78,43,Received
1678166038.6869178,80,44,Received
1678166039.6931908,81,46,Received
1678166040.7014139,82,48,Received
1678166041.707066,83,52,Received
1678166042.7106519,84,53,Received
1678166043.7184892,86,53,Received
1678166044.725892,90,55,Received
1678166045.732905,94,54,Received
1678166046.740588,97,54,Received
1678166047.744887,98,54,Received
1678166048.7467468,99,54,Received
1678166049.7515972,100,55,Received
1678166050.758815,102,56,Received
1678166051.7617128,103,56,Received
1678166052.76947,109,58,Received
1678166053.774188,110,59,Received
1678166054.780478,113,61,Received
1678166055.784829,114,62,Received
1678166056.793062,122,63,Received
1678166057.801064,126,64,Received
1678166058.8082602,128,65,Received
1678166059.811157,129,67,Received
1678166060.8178828,130,68,Received
1678166061.825444,132,69,Received
1678166062.831591,137,72,Received
1678166063.837143,140,73,Received
1678166064.840863,141,75,Received
1678166065.8475652,142,75,Received
1678166066.855413,147,74,Received
1678166067.858019,149,76,Received
1678166068.8605812,154,76,Received
1678166069.866221,157,77,Received
1678166070.872906,160,77,Received
1678166071.879873,162,78,Received
1678166072.887149,163,78,Received
1678166073.892904,164,79,Received
