INFO:root:Clock Speed: 2
INFO:root:Internal Event: System Time - 1678137992.410263, Logical Clock Time - 1, Queue Length - 0
INFO:root:Received Message: System Time - 1678137992.912492, Logical Clock Time - 2, Queue Length - 0
INFO:root:Received Message: System Time - 1678137993.417279, Logical Clock Time - 6, Queue Length - 1
INFO:root:Received Message: System Time - 1678137993.922807, Logical Clock Time - 10, Queue Length - 0
INFO:root:Received Message: System Time - 1678137994.4283788, Logical Clock Time - 18, Queue Length - 2
INFO:root:Received Message: System Time - 1678137994.932072, Logical Clock Time - 19, Queue Length - 1
INFO:root:Received Message: System Time - 1678137995.4377978, Logical Clock Time - 20, Queue Length - 2
INFO:root:Received Message: System Time - 1678137995.94243, Logical Clock Time - 25, Queue Length - 3
INFO:root:Received Message: System Time - 1678137996.450681, Logical Clock Time - 29, Queue Length - 2
INFO:root:Received Message: System Time - 1678137996.9561942, Logical Clock Time - 31, Queue Length - 4
INFO:root:Received Message: System Time - 1678137997.459596, Logical Clock Time - 33, Queue Length - 3
INFO:root:Received Message: System Time - 1678137997.9663439, Logical Clock Time - 40, Queue Length - 2
INFO:root:Received Message: System Time - 1678137998.473706, Logical Clock Time - 41, Queue Length - 2
INFO:root:Received Message: System Time - 1678137998.980684, Logical Clock Time - 44, Queue Length - 3
INFO:root:Received Message: System Time - 1678137999.4888692, Logical Clock Time - 57, Queue Length - 4
INFO:root:Received Message: System Time - 1678137999.996929, Logical Clock Time - 58, Queue Length - 5
INFO:root:Received Message: System Time - 1678138000.502437, Logical Clock Time - 62, Queue Length - 6
INFO:root:Received Message: System Time - 1678138001.00813, Logical Clock Time - 64, Queue Length - 6
INFO:root:Received Message: System Time - 1678138001.513643, Logical Clock Time - 67, Queue Length - 7
INFO:root:Received Message: System Time - 1678138002.017395, Logical Clock Time - 69, Queue Length - 7
INFO:root:Received Message: System Time - 1678138002.524609, Logical Clock Time - 70, Queue Length - 7
INFO:root:Received Message: System Time - 1678138003.030931, Logical Clock Time - 75, Queue Length - 9
INFO:root:Received Message: System Time - 1678138003.532817, Logical Clock Time - 76, Queue Length - 9
INFO:root:Received Message: System Time - 1678138004.040873, Logical Clock Time - 80, Queue Length - 11
INFO:root:Received Message: System Time - 1678138004.544632, Logical Clock Time - 85, Queue Length - 11
