INFO:root:Clock Speed: 3
INFO:root:Internal Event: System Time - 1678137992.4100401, Logical Clock Time - 1, Queue Length - 0
INFO:root:Received Message: System Time - 1678137992.748396, Logical Clock Time - 2, Queue Length - 2
INFO:root:Received Message: System Time - 1678137993.0873501, Logical Clock Time - 3, Queue Length - 1
INFO:root:Received Message: System Time - 1678137993.426114, Logical Clock Time - 4, Queue Length - 1
INFO:root:Received Message: System Time - 1678137993.764817, Logical Clock Time - 8, Queue Length - 1
INFO:root:Received Message: System Time - 1678137994.104914, Logical Clock Time - 11, Queue Length - 0
INFO:root:Received Message: System Time - 1678137994.443188, Logical Clock Time - 18, Queue Length - 0
INFO:root:Internal Event: System Time - 1678137994.782871, Logical Clock Time - 19, Queue Length - 0
INFO:root:Internal Event: System Time - 1678137995.1218162, Logical Clock Time - 20, Queue Length - 0
INFO:root:Received Message: System Time - 1678137995.460639, Logical Clock Time - 28, Queue Length - 0
INFO:root:Sent Message: System Time - 1678137995.7966511, Logical Clock Time - 29, Queue Length - 0, Message - [machine 1, task 1] the time is 28
INFO:root:Received Message: System Time - 1678137996.136853, Logical Clock Time - 36, Queue Length - 0
INFO:root:Internal Event: System Time - 1678137996.478276, Logical Clock Time - 37, Queue Length - 0
INFO:root:Sent Message: System Time - 1678137996.8150568, Logical Clock Time - 38, Queue Length - 0, Message - [machine 1, task 2] the time is 37
INFO:root:Internal Event: System Time - 1678137997.151793, Logical Clock Time - 39, Queue Length - 0
INFO:root:Received Message: System Time - 1678137997.4928918, Logical Clock Time - 47, Queue Length - 0
INFO:root:Received Message: System Time - 1678137997.830283, Logical Clock Time - 52, Queue Length - 0
INFO:root:Internal Event: System Time - 1678137998.171, Logical Clock Time - 53, Queue Length - 0
INFO:root:Sent Message: System Time - 1678137998.509712, Logical Clock Time - 54, Queue Length - 0, Message - [machine 1, task 2] the time is 53
INFO:root:Received Message: System Time - 1678137998.850253, Logical Clock Time - 60, Queue Length - 0
INFO:root:Received Message: System Time - 1678137999.191811, Logical Clock Time - 64, Queue Length - 1
INFO:root:Received Message: System Time - 1678137999.532344, Logical Clock Time - 65, Queue Length - 1
INFO:root:Received Message: System Time - 1678137999.873538, Logical Clock Time - 68, Queue Length - 2
INFO:root:Received Message: System Time - 1678138000.207642, Logical Clock Time - 69, Queue Length - 2
INFO:root:Received Message: System Time - 1678138000.546568, Logical Clock Time - 71, Queue Length - 1
INFO:root:Received Message: System Time - 1678138000.886235, Logical Clock Time - 75, Queue Length - 1
INFO:root:Received Message: System Time - 1678138001.225285, Logical Clock Time - 80, Queue Length - 0
INFO:root:Received Message: System Time - 1678138001.562987, Logical Clock Time - 85, Queue Length - 1
