INFO:root:Clock Speed: 1
INFO:root:Internal Event: System Time - 1678079834.376725, Logical Clock Time - 1
INFO:root:Received Message: System Time - 1678079835.383592, Logical Clock Time - 2, Queue Length - 0, Message - [machine 2, task 2] the time is 2
INFO:root:Internal Event: System Time - 1678079836.386121, Logical Clock Time - 3
INFO:root:Sent Message: System Time - 1678079837.392558, Logical Clock Time - 4, Queue Length - 0, Message - [machine 1, task 2] the time is 3
INFO:root:Received Message: System Time - 1678079838.3989272, Logical Clock Time - 5, Queue Length - 0, Message - [machine 2, task 3] the time is 10
INFO:root:Received Message: System Time - 1678079839.4050481, Logical Clock Time - 6, Queue Length - 0, Message - [machine 0, task 1] the time is 18
INFO:root:Received Message: System Time - 1678079840.411635, Logical Clock Time - 7, Queue Length - 0, Message - [machine 0, task 3] the time is 21
INFO:root:Received Message: System Time - 1678079841.4149802, Logical Clock Time - 8, Queue Length - 0, Message - [machine 0, task 1] the time is 24
INFO:root:Internal Event: System Time - 1678079842.421372, Logical Clock Time - 9
INFO:root:Received Message: System Time - 1678079843.4275541, Logical Clock Time - 10, Queue Length - 2, Message - [machine 0, task 3] the time is 33
INFO:root:Received Message: System Time - 1678079844.434171, Logical Clock Time - 11, Queue Length - 1, Message - [machine 0, task 3] the time is 34
INFO:root:Received Message: System Time - 1678079845.4384818, Logical Clock Time - 12, Queue Length - 2, Message - [machine 0, task 3] the time is 35
INFO:root:Received Message: System Time - 1678079846.44477, Logical Clock Time - 13, Queue Length - 1, Message - [machine 2, task 2] the time is 30
INFO:root:Received Message: System Time - 1678079847.4469278, Logical Clock Time - 14, Queue Length - 2, Message - [machine 2, task 3] the time is 32
INFO:root:Received Message: System Time - 1678079848.449962, Logical Clock Time - 15, Queue Length - 3, Message - [machine 0, task 3] the time is 48
INFO:root:Received Message: System Time - 1678079849.456246, Logical Clock Time - 16, Queue Length - 3, Message - [machine 0, task 1] the time is 49
INFO:root:Received Message: System Time - 1678079850.457974, Logical Clock Time - 17, Queue Length - 2, Message - [machine 2, task 2] the time is 41
INFO:root:Received Message: System Time - 1678079851.464245, Logical Clock Time - 18, Queue Length - 2, Message - [machine 0, task 3] the time is 55
INFO:root:Received Message: System Time - 1678079852.4678621, Logical Clock Time - 19, Queue Length - 4, Message - [machine 2, task 2] the time is 43
INFO:root:Received Message: System Time - 1678079853.471837, Logical Clock Time - 20, Queue Length - 4, Message - [machine 2, task 3] the time is 50
INFO:root:Received Message: System Time - 1678079854.478317, Logical Clock Time - 21, Queue Length - 4, Message - [machine 2, task 2] the time is 52
INFO:root:Received Message: System Time - 1678079855.4844291, Logical Clock Time - 22, Queue Length - 5, Message - [machine 0, task 1] the time is 70
INFO:root:Received Message: System Time - 1678079856.4906602, Logical Clock Time - 23, Queue Length - 4, Message - [machine 2, task 3] the time is 53
INFO:root:Received Message: System Time - 1678079857.497194, Logical Clock Time - 24, Queue Length - 6, Message - [machine 0, task 3] the time is 73
INFO:root:Received Message: System Time - 1678079858.503215, Logical Clock Time - 25, Queue Length - 7, Message - [machine 2, task 2] the time is 58
INFO:root:Received Message: System Time - 1678079859.506903, Logical Clock Time - 26, Queue Length - 7, Message - [machine 0, task 1] the time is 81
INFO:root:Received Message: System Time - 1678079860.510721, Logical Clock Time - 27, Queue Length - 8, Message - [machine 0, task 3] the time is 82
INFO:root:Received Message: System Time - 1678079861.517216, Logical Clock Time - 28, Queue Length - 7, Message - [machine 0, task 3] the time is 88
INFO:root:Received Message: System Time - 1678079862.5238268, Logical Clock Time - 29, Queue Length - 7, Message - [machine 0, task 3] the time is 89
INFO:root:Received Message: System Time - 1678079863.530189, Logical Clock Time - 30, Queue Length - 6, Message - [machine 0, task 1] the time is 90
INFO:root:Received Message: System Time - 1678079864.53615, Logical Clock Time - 31, Queue Length - 8, Message - [machine 2, task 3] the time is 69
INFO:root:Received Message: System Time - 1678079865.542256, Logical Clock Time - 32, Queue Length - 8, Message - [machine 0, task 3] the time is 94
INFO:root:Received Message: System Time - 1678079866.545693, Logical Clock Time - 33, Queue Length - 8, Message - [machine 0, task 3] the time is 98
INFO:root:Received Message: System Time - 1678079867.5512, Logical Clock Time - 34, Queue Length - 8, Message - [machine 2, task 2] the time is 75
INFO:root:Received Message: System Time - 1678079868.557507, Logical Clock Time - 35, Queue Length - 7, Message - [machine 0, task 1] the time is 102
INFO:root:Received Message: System Time - 1678079869.560776, Logical Clock Time - 36, Queue Length - 7, Message - [machine 2, task 3] the time is 81
INFO:root:Received Message: System Time - 1678079870.566947, Logical Clock Time - 37, Queue Length - 7, Message - [machine 0, task 3] the time is 115
INFO:root:Received Message: System Time - 1678079871.570274, Logical Clock Time - 38, Queue Length - 8, Message - [machine 0, task 3] the time is 116
INFO:root:Received Message: System Time - 1678079872.5730402, Logical Clock Time - 39, Queue Length - 8, Message - [machine 0, task 1] the time is 117
INFO:root:Received Message: System Time - 1678079873.575222, Logical Clock Time - 40, Queue Length - 9, Message - [machine 2, task 2] the time is 91
INFO:root:Received Message: System Time - 1678079874.579235, Logical Clock Time - 41, Queue Length - 8, Message - [machine 2, task 2] the time is 94
INFO:root:Received Message: System Time - 1678079875.5858161, Logical Clock Time - 42, Queue Length - 8, Message - [machine 0, task 3] the time is 126
INFO:root:Received Message: System Time - 1678079876.592267, Logical Clock Time - 43, Queue Length - 8, Message - [machine 0, task 3] the time is 136
INFO:root:Received Message: System Time - 1678079877.596212, Logical Clock Time - 44, Queue Length - 8, Message - [machine 2, task 2] the time is 105
INFO:root:Received Message: System Time - 1678079878.601137, Logical Clock Time - 45, Queue Length - 8, Message - [machine 2, task 3] the time is 107
INFO:root:Received Message: System Time - 1678079879.603673, Logical Clock Time - 46, Queue Length - 9, Message - [machine 0, task 1] the time is 143
INFO:root:Received Message: System Time - 1678079880.60575, Logical Clock Time - 47, Queue Length - 10, Message - [machine 0, task 3] the time is 149
INFO:root:Received Message: System Time - 1678079881.612216, Logical Clock Time - 48, Queue Length - 10, Message - [machine 0, task 1] the time is 151
INFO:root:Received Message: System Time - 1678079882.61552, Logical Clock Time - 49, Queue Length - 10, Message - [machine 2, task 2] the time is 114
INFO:root:Received Message: System Time - 1678079883.6183832, Logical Clock Time - 50, Queue Length - 9, Message - [machine 0, task 3] the time is 160
INFO:root:Received Message: System Time - 1678079884.624193, Logical Clock Time - 51, Queue Length - 10, Message - [machine 0, task 3] the time is 163
INFO:root:Received Message: System Time - 1678079885.6292381, Logical Clock Time - 52, Queue Length - 11, Message - [machine 0, task 3] the time is 169
INFO:root:Received Message: System Time - 1678079886.635374, Logical Clock Time - 53, Queue Length - 10, Message - [machine 0, task 1] the time is 170
INFO:root:Received Message: System Time - 1678079887.641648, Logical Clock Time - 54, Queue Length - 11, Message - [machine 0, task 1] the time is 174
INFO:root:Received Message: System Time - 1678079888.647585, Logical Clock Time - 55, Queue Length - 12, Message - [machine 0, task 3] the time is 176
INFO:root:Received Message: System Time - 1678079889.64858, Logical Clock Time - 56, Queue Length - 12, Message - [machine 0, task 1] the time is 178
INFO:root:Received Message: System Time - 1678079890.654879, Logical Clock Time - 57, Queue Length - 12, Message - [machine 2, task 2] the time is 135
INFO:root:Received Message: System Time - 1678079891.6602461, Logical Clock Time - 58, Queue Length - 13, Message - [machine 0, task 3] the time is 182
INFO:root:Received Message: System Time - 1678079892.666624, Logical Clock Time - 59, Queue Length - 12, Message - [machine 0, task 3] the time is 189
INFO:root:Received Message: System Time - 1678079893.673206, Logical Clock Time - 60, Queue Length - 12, Message - [machine 2, task 3] the time is 147
