timestamp,logical_clock_time,queue_length,event_type
1678133989.150323,1,0,Internal
1678133989.405857,2,0,Internal
1678133989.658696,3,0,Send
1678133989.912954,4,0,Send
1678133990.1669278,5,0,Internal
1678133990.420255,6,0,Internal
1678133990.675798,7,0,Internal
1678133990.92854,11,0,Received
1678133991.179477,12,0,Internal
1678133991.435429,13,0,Internal
1678133991.693551,14,0,Internal
1678133991.950742,16,0,Received
1678133992.206429,17,0,Internal
1678133992.461907,18,0,Internal
1678133992.717469,19,0,Internal
1678133992.973197,20,0,Internal
1678133993.229584,21,0,Send
1678133993.485219,22,0,Send
1678133993.741201,23,0,Internal
1678133993.995459,28,0,Received
1678133994.252816,30,0,Received
1678133994.50684,31,0,Received
1678133994.762402,32,0,Send
1678133995.013935,34,0,Received
1678133995.2706182,35,0,Send
1678133995.5283022,36,0,Internal
1678133995.784538,37,0,Internal
1678133996.0425441,38,0,Send
1678133996.300929,39,0,Send
1678133996.559093,40,0,Internal
1678133996.8169332,41,0,Send
1678133997.070459,42,0,Internal
1678133997.328326,43,0,Internal
1678133997.5858219,44,0,Internal
1678133997.842703,45,0,Internal
1678133998.0970309,46,0,Send
1678133998.348984,47,0,Internal
1678133998.601024,48,0,Send
1678133998.854273,49,0,Internal
1678133999.108201,50,0,Internal
1678133999.36625,51,0,Send
1678133999.623984,52,0,Send
1678133999.881887,63,0,Received
1678134000.138709,64,0,Received
1678134000.395651,65,0,Internal
1678134000.653554,67,0,Received
1678134000.90697,68,0,Internal
1678134001.16039,69,0,Send
1678134001.412708,70,0,Internal
1678134001.6704068,71,0,Internal
1678134001.924046,72,0,Internal
1678134002.181833,73,0,Send
1678134002.433805,77,1,Received
1678134002.690114,78,1,Received
1678134002.9473128,79,0,Received
1678134003.199753,80,0,Send
1678134003.4561532,81,0,Internal
1678134003.708242,85,0,Received
1678134003.961196,86,0,Received
1678134004.214858,88,0,Received
1678134004.4721348,89,0,Received
1678134004.728891,90,0,Internal
1678134004.986509,91,0,Internal
1678134005.2440472,93,0,Received
1678134005.502132,94,0,Internal
1678134005.7596512,95,0,Internal
1678134006.01768,96,0,Internal
1678134006.275572,97,0,Internal
1678134006.530306,98,0,Internal
1678134006.787841,102,0,Received
1678134007.0435898,103,0,Send
1678134007.2974489,104,0,Internal
1678134007.5546198,105,0,Internal
1678134007.809725,108,0,Received
1678134008.084418,110,0,Received
1678134008.3401,111,0,Internal
1678134008.598156,112,0,Internal
1678134008.8542452,113,0,Internal
1678134009.1097732,114,0,Internal
1678134009.364405,115,0,Send
1678134009.6183522,116,0,Internal
1678134009.870233,117,0,Internal
1678134010.123002,122,0,Received
1678134010.3790112,123,0,Internal
1678134010.636744,124,0,Internal
1678134010.891196,125,0,Internal
1678134011.14758,126,0,Internal
1678134011.4014778,129,0,Received
1678134011.6579661,130,0,Internal
1678134011.910902,131,0,Internal
1678134012.168066,132,0,Send
1678134012.4257631,133,0,Internal
1678134012.683466,134,0,Internal
1678134012.940613,135,0,Internal
1678134013.195513,136,0,Send
1678134013.4477901,137,0,Internal
1678134013.70441,143,0,Received
1678134013.9605608,144,0,Send
1678134014.21783,145,0,Send
1678134014.4702232,148,0,Received
1678134014.72693,149,0,Internal
1678134014.9835148,150,0,Received
1678134015.240887,152,0,Received
1678134015.496746,153,0,Internal
1678134015.7540212,154,0,Internal
1678134016.011924,156,1,Received
1678134016.265072,157,0,Received
1678134016.522472,158,0,Send
1678134016.779449,159,0,Send
1678134017.035903,163,0,Received
1678134017.2914822,164,0,Internal
1678134017.547144,165,0,Send
1678134017.800683,166,0,Internal
1678134018.057197,168,0,Received
1678134018.312646,169,0,Send
1678134018.566134,170,0,Internal
1678134018.8207748,172,0,Received
1678134019.078342,174,0,Received
1678134019.3363352,175,0,Received
1678134019.594032,176,0,Internal
1678134019.8518689,177,0,Send
1678134020.107671,178,0,Internal
1678134020.362956,182,0,Received
1678134020.6197288,183,0,Received
1678134020.8735502,184,0,Send
1678134021.128917,185,0,Internal
1678134021.386432,186,0,Internal
1678134021.643977,189,0,Received
1678134021.901779,191,0,Received
1678134022.154134,192,0,Internal
1678134022.412616,193,0,Internal
1678134022.666817,194,0,Send
1678134022.9232671,196,0,Received
1678134023.179708,197,0,Internal
1678134023.436681,198,0,Internal
1678134023.691242,199,0,Internal
1678134023.94809,202,1,Received
1678134024.20522,203,0,Received
1678134024.461795,204,0,Internal
1678134024.718575,205,0,Internal
1678134024.976154,206,0,Internal
1678134025.2327921,207,0,Internal
1678134025.4889169,211,0,Received
1678134025.745364,212,1,Received
1678134026.0029042,213,0,Received
1678134026.257878,216,0,Received
1678134026.5121431,217,0,Send
1678134026.766592,218,0,Send
1678134027.023309,219,0,Internal
1678134027.279829,220,0,Received
1678134027.537884,221,0,Send
1678134027.7952268,222,0,Internal
1678134028.0525172,223,0,Internal
1678134028.309869,228,0,Received
1678134028.562677,229,0,Received
1678134028.816483,230,0,Internal
1678134029.0737169,231,0,Internal
1678134029.331912,232,0,Internal
1678134029.589306,233,0,Internal
