timestamp,logical_clock_time,queue_length,event_type
1678134148.338887,1,0,Internal
1678134149.341154,2,1,Received
1678134150.346914,5,1,Received
1678134151.354487,7,3,Received
1678134152.362703,10,4,Received
1678134153.366816,12,3,Received
1678134154.374642,13,3,Received
1678134155.38071,17,3,Received
1678134156.383908,20,4,Received
1678134157.39043,29,4,Received
1678134158.398324,30,3,Received
1678134159.4009018,34,6,Received
1678134160.406225,36,6,Received
1678134161.413595,43,7,Received
1678134162.420544,50,7,Received
1678134163.426909,52,7,Received
1678134164.431576,53,9,Received
1678134165.4385998,54,10,Received
1678134166.4457989,55,10,Received
1678134167.453036,62,10,Received
1678134168.455081,63,9,Received
1678134169.463198,65,8,Received
1678134170.468523,67,8,Received
1678134171.4715788,75,8,Received
1678134172.4755452,76,8,Received
1678134173.482699,79,8,Received
1678134174.4896472,80,8,Received
1678134175.496499,81,8,Received
1678134176.503349,87,7,Received
1678134177.5105019,89,7,Received
1678134178.514125,105,7,Received
1678134179.52118,113,8,Received
1678134180.5293021,114,10,Received
1678134181.537104,119,14,Received
1678134182.543982,124,16,Received
1678134183.547843,129,16,Received
1678134184.555192,141,16,Received
1678134185.5628748,145,16,Received
1678134186.5710888,150,17,Received
1678134187.579398,152,16,Received
1678134188.582106,154,16,Received
1678134189.5860748,155,16,Received
1678134190.592681,156,16,Received
1678134191.595742,158,15,Received
1678134192.599628,159,14,Received
1678134193.607418,161,14,Received
1678134194.615615,162,13,Received
1678134195.623074,163,14,Received
1678134196.6307101,164,13,Received
1678134197.6350248,166,12,Received
1678134198.643164,167,13,Received
1678134199.647897,168,14,Received
1678134200.655097,175,16,Received
1678134201.663247,177,16,Received
1678134202.670719,182,15,Received
1678134203.6784341,184,14,Received
1678134204.685983,194,14,Received
1678134205.692895,197,14,Received
1678134206.698524,205,13,Received
1678134207.706392,218,12,Received
