timestamp,logical_clock_time,queue_length,event_type
1678137660.639725,1,0,Send
1678137661.1435468,2,0,Send
1678137661.645503,3,0,Send
1678137662.152262,4,1,Received
1678137662.6596138,5,1,Received
1678137663.1646311,6,2,Received
1678137663.671944,7,1,Received
1678137664.177428,8,1,Received
1678137664.680726,10,1,Received
1678137665.1843321,12,1,Received
1678137665.687739,13,0,Received
1678137666.193368,17,0,Received
1678137666.699049,18,0,Received
1678137667.206868,19,1,Received
1678137667.710581,20,1,Received
1678137668.21468,21,2,Received
1678137668.720397,22,2,Received
1678137669.222134,23,3,Received
1678137669.726461,24,3,Received
1678137670.232529,25,3,Received
1678137670.7395442,26,3,Received
1678137671.246869,27,4,Received
1678137671.751429,29,4,Received
1678137672.252224,30,4,Received
1678137672.7579699,31,4,Received
1678137673.2657778,32,5,Received
1678137673.771625,33,5,Received
1678137674.276928,34,5,Received
1678137674.779613,36,4,Received
1678137675.285247,37,5,Received
1678137675.791083,38,4,Received
1678137676.2993479,39,5,Received
1678137676.806863,41,5,Received
1678137677.314819,43,5,Received
1678137677.818797,44,5,Received
1678137678.325154,46,5,Received
1678137678.831081,47,5,Received
1678137679.337983,48,6,Received
1678137679.843859,50,5,Received
1678137680.349746,51,5,Received
1678137680.8529751,53,4,Received
1678137681.359277,54,5,Received
1678137681.863234,55,5,Received
1678137682.369073,56,6,Received
1678137682.872122,59,6,Received
1678137683.377675,61,6,Received
1678137683.8846369,62,6,Received
1678137684.386284,63,6,Received
1678137684.892979,64,6,Received
1678137685.398654,65,6,Received
1678137685.904209,66,6,Received
1678137686.4111202,67,6,Received
1678137686.918967,69,7,Received
1678137687.426204,70,6,Received
1678137687.931453,71,6,Received
1678137688.438495,73,6,Received
1678137688.944205,74,7,Received
1678137689.45228,76,7,Received
1678137689.9608052,77,7,Received
1678137690.4682481,78,7,Received
1678137690.973854,81,7,Received
1678137691.477844,82,6,Received
1678137691.985423,83,7,Received
1678137692.493091,84,7,Received
1678137692.9968462,85,8,Received
1678137693.502655,86,8,Received
1678137694.009793,88,8,Received
1678137694.5171578,90,8,Received
1678137695.021441,92,7,Received
1678137695.5291789,93,6,Received
1678137696.0371652,94,6,Received
1678137696.545408,95,6,Received
1678137697.051025,96,6,Received
1678137697.5590148,97,6,Received
1678137698.066684,98,6,Received
1678137698.57333,100,5,Received
1678137699.0804758,105,6,Received
1678137699.588351,106,6,Received
1678137700.096461,107,7,Received
1678137700.603742,109,7,Received
1678137701.111205,111,8,Received
1678137701.6184719,113,8,Received
1678137702.1216729,114,8,Received
1678137702.6270552,115,8,Received
1678137703.1351721,116,8,Received
1678137703.643451,117,8,Received
1678137704.1476429,118,9,Received
1678137704.65451,119,9,Received
1678137705.161914,120,10,Received
1678137705.667642,121,10,Received
1678137706.171944,123,10,Received
1678137706.679908,124,10,Received
1678137707.185631,126,10,Received
1678137707.693258,127,9,Received
1678137708.1990132,128,9,Received
1678137708.70184,129,9,Received
1678137709.209126,130,10,Received
1678137709.714617,131,10,Received
1678137710.218198,132,10,Received
1678137710.726033,133,10,Received
1678137711.233705,134,11,Received
1678137711.741227,136,10,Received
1678137712.2441092,138,10,Received
1678137712.751607,140,10,Received
1678137713.2590961,142,10,Received
1678137713.762388,143,9,Received
1678137714.266528,144,9,Received
1678137714.7692008,145,9,Received
1678137715.276795,147,9,Received
1678137715.7814,148,9,Received
1678137716.289634,149,9,Received
1678137716.797717,150,10,Received
1678137717.3038878,153,10,Received
1678137717.8102431,154,11,Received
1678137718.3179278,155,11,Received
1678137718.821544,159,10,Received
1678137719.329512,160,10,Received
1678137719.838044,161,10,Received
1678137720.343385,163,10,Received
