timestamp,logical_clock_time,queue_length,event_type
1678137660.639721,1,0,Send
1678137661.6454852,2,0,Received
1678137662.65018,3,1,Received
1678137663.6544828,6,2,Received
1678137664.6601431,8,3,Received
1678137665.666828,9,5,Received
1678137666.6726441,11,6,Received
1678137667.679221,12,8,Received
1678137668.684782,13,9,Received
1678137669.689758,14,9,Received
1678137670.693951,15,9,Received
1678137671.6955972,16,10,Received
1678137672.701389,17,12,Received
1678137673.709266,19,13,Received
1678137674.716325,20,15,Received
1678137675.723089,21,16,Received
1678137676.728138,22,17,Received
1678137677.735109,23,18,Received
1678137678.738441,25,19,Received
1678137679.7440372,28,21,Received
1678137680.750915,31,22,Received
1678137681.756663,32,22,Received
1678137682.7602718,34,23,Received
1678137683.76822,35,24,Received
1678137684.7760189,36,26,Received
1678137685.7815611,38,27,Received
1678137686.787216,39,29,Received
1678137687.794443,40,31,Received
1678137688.796917,41,32,Received
1678137689.805224,42,32,Received
1678137690.810548,43,34,Received
1678137691.8172958,45,34,Received
1678137692.8214242,46,35,Received
1678137693.826886,48,34,Received
1678137694.830747,49,35,Received
1678137695.8377962,50,37,Received
1678137696.842001,52,37,Received
1678137697.849458,54,38,Received
1678137698.857152,55,39,Received
1678137699.8640761,56,40,Received
1678137700.867875,57,39,Received
1678137701.873056,58,41,Received
1678137702.8791502,60,42,Received
1678137703.886318,63,43,Received
1678137704.893573,65,44,Received
1678137705.901618,66,44,Received
1678137706.911169,67,46,Received
1678137707.9162948,68,47,Received
1678137708.9214752,70,47,Received
1678137709.926355,71,49,Received
1678137710.9318779,72,50,Received
1678137711.9356182,73,52,Received
1678137712.943538,75,52,Received
1678137713.950721,76,54,Received
1678137714.9533231,77,53,Received
1678137715.95549,78,53,Received
1678137716.995202,79,55,Received
1678137717.9981492,80,56,Received
1678137719.002451,81,57,Received
1678137720.010408,82,59,Received
