INFO:root:Clock Speed: 1
INFO:root:Received Message: System Time - 1678080719.973429, Logical Clock Time - 50, Queue Length - 36, Message - [machine 0, task 1] the time is 137
INFO:root:Received Message: System Time - 1678080720.9748962, Logical Clock Time - 51, Queue Length - 38, Message - [machine 0, task 3] the time is 139
INFO:root:Received Message: System Time - 1678080721.983247, Logical Clock Time - 52, Queue Length - 40, Message - [machine 0, task 1] the time is 141
INFO:root:Received Message: System Time - 1678080722.986978, Logical Clock Time - 53, Queue Length - 42, Message - [machine 0, task 1] the time is 142
INFO:root:Received Message: System Time - 1678080723.991822, Logical Clock Time - 54, Queue Length - 43, Message - [machine 0, task 3] the time is 143
INFO:root:Received Message: System Time - 1678080724.997341, Logical Clock Time - 55, Queue Length - 45, Message - [machine 0, task 3] the time is 144
INFO:root:Received Message: System Time - 1678080726.003802, Logical Clock Time - 56, Queue Length - 46, Message - [machine 0, task 3] the time is 151
INFO:root:Received Message: System Time - 1678080727.004606, Logical Clock Time - 57, Queue Length - 47, Message - [machine 0, task 1] the time is 154
INFO:root:Received Message: System Time - 1678080728.010037, Logical Clock Time - 58, Queue Length - 47, Message - [machine 0, task 3] the time is 158
INFO:root:Received Message: System Time - 1678080729.013252, Logical Clock Time - 59, Queue Length - 48, Message - [machine 0, task 1] the time is 159
INFO:root:Received Message: System Time - 1678080730.0148008, Logical Clock Time - 60, Queue Length - 50, Message - [machine 0, task 3] the time is 161
