timestamp,logical_clock_time,queue_length,event_type
1678137992.4100401,1,0,Internal
1678137992.748396,2,2,Received
1678137993.0873501,3,1,Received
1678137993.426114,4,1,Received
1678137993.764817,8,1,Received
1678137994.104914,11,0,Received
1678137994.443188,18,0,Received
1678137994.782871,19,0,Internal
1678137995.1218162,20,0,Internal
1678137995.460639,28,0,Received
1678137995.7966511,29,0,Send
1678137996.136853,36,0,Received
1678137996.478276,37,0,Internal
1678137996.8150568,38,0,Send
1678137997.151793,39,0,Internal
1678137997.4928918,47,0,Received
1678137997.830283,52,0,Received
1678137998.171,53,0,Internal
1678137998.509712,54,0,Send
1678137998.850253,60,0,Received
1678137999.191811,64,1,Received
1678137999.532344,65,1,Received
1678137999.873538,68,2,Received
1678138000.207642,69,2,Received
1678138000.546568,71,1,Received
1678138000.886235,75,1,Received
1678138001.225285,80,0,Received
1678138001.562987,85,1,Received
1678138001.899213,86,0,Received
1678138002.2367911,87,0,Send
1678138002.576166,97,0,Received
1678138002.912561,98,0,Internal
1678138003.2522209,103,0,Received
1678138003.5926778,107,0,Received
1678138003.932941,108,0,Received
1678138004.274154,111,0,Received
1678138004.6149728,114,2,Received
1678138004.954355,116,1,Received
1678138005.294755,117,1,Received
1678138005.634691,121,1,Received
1678138005.9756842,125,1,Received
1678138006.3166568,127,2,Received
1678138006.6534889,130,2,Received
1678138006.992401,132,3,Received
1678138007.3328419,134,3,Received
1678138007.668908,137,3,Received
1678138008.009548,138,2,Received
1678138008.3454678,141,2,Received
1678138008.681844,144,2,Received
1678138009.017217,152,1,Received
1678138009.357196,154,0,Received
1678138009.6949718,155,0,Send
1678138010.035033,156,0,Internal
1678138010.3719559,169,0,Received
1678138010.713088,174,0,Received
1678138011.0522501,177,0,Received
1678138011.393267,178,0,Send
1678138011.729354,182,1,Received
1678138012.068607,184,2,Received
1678138012.408854,185,2,Received
1678138012.7445781,187,3,Received
1678138013.085789,189,2,Received
1678138013.422718,192,1,Received
1678138013.76161,193,1,Received
1678138014.101202,203,1,Received
1678138014.437338,205,1,Received
1678138014.7775009,208,1,Received
1678138015.1166139,212,1,Received
1678138015.456993,215,1,Received
1678138015.797293,219,1,Received
1678138016.1338801,220,2,Received
1678138016.472885,224,3,Received
1678138016.811604,225,5,Received
1678138017.151635,227,5,Received
1678138017.491285,228,5,Received
1678138017.829643,230,5,Received
1678138018.169442,231,4,Received
1678138018.5085309,232,4,Received
1678138018.844822,236,5,Received
1678138019.183726,237,5,Received
1678138019.522389,240,4,Received
1678138019.859587,246,5,Received
1678138020.198596,250,4,Received
1678138020.538739,251,5,Received
1678138020.877868,255,5,Received
1678138021.229127,259,5,Received
1678138021.569152,260,6,Received
1678138021.909379,266,5,Received
1678138022.248272,268,4,Received
1678138022.5874188,269,3,Received
1678138022.923868,272,2,Received
1678138023.263045,276,2,Received
1678138023.602257,277,2,Received
1678138023.938931,293,2,Received
1678138024.277815,295,1,Received
1678138024.617803,298,3,Received
1678138024.956033,304,4,Received
1678138025.2923799,305,6,Received
1678138025.633116,306,6,Received
1678138025.9727712,308,6,Received
1678138026.311889,309,5,Received
1678138026.6474612,310,6,Received
1678138026.988023,312,6,Received
1678138027.328043,313,6,Received
1678138027.667219,315,6,Received
1678138028.0028648,318,5,Received
1678138028.3419259,325,6,Received
1678138028.682701,326,6,Received
1678138029.018354,329,6,Received
1678138029.357535,332,5,Received
1678138029.697556,333,6,Received
1678138030.036752,340,6,Received
1678138030.3767831,342,5,Received
1678138030.71369,345,4,Received
1678138031.052827,347,4,Received
1678138031.393812,352,5,Received
1678138031.7337291,355,6,Received
1678138032.072582,356,6,Received
1678138032.414387,367,6,Received
1678138032.753083,370,5,Received
1678138033.092066,371,5,Received
1678138033.4327948,373,4,Received
1678138033.7691891,374,4,Received
1678138034.1040719,377,5,Received
1678138034.4394162,381,6,Received
1678138034.780499,385,6,Received
1678138035.1206431,392,5,Received
1678138035.4613729,394,5,Received
1678138035.800815,395,5,Received
1678138036.1385942,397,4,Received
1678138036.479116,398,4,Received
1678138036.816009,402,4,Received
1678138037.152674,408,3,Received
1678138037.493412,412,3,Received
1678138037.833427,419,4,Received
1678138038.173572,420,3,Received
1678138038.509749,426,4,Received
1678138038.84831,429,5,Received
1678138039.1882298,430,5,Received
1678138039.5284858,436,6,Received
1678138039.86912,437,5,Received
1678138040.2100239,439,4,Received
1678138040.546617,440,3,Received
1678138040.883754,445,3,Received
1678138041.218582,446,2,Received
1678138041.558805,448,2,Received
1678138041.899467,460,2,Received
1678138042.2424479,466,1,Received
1678138042.5825112,469,1,Received
1678138042.9213288,477,2,Received
1678138043.2604349,478,3,Received
1678138043.597739,479,2,Received
1678138043.937655,481,2,Received
1678138044.2781389,482,3,Received
1678138044.6158662,487,2,Received
1678138044.957363,491,3,Received
1678138045.2961862,493,2,Received
1678138045.635757,497,1,Received
1678138045.971141,498,1,Received
1678138046.309454,508,0,Received
1678138046.650391,514,0,Received
1678138046.9906402,516,0,Received
1678138047.329875,517,0,Send
1678138047.669547,518,0,Internal
1678138048.0058,526,0,Received
1678138048.346465,530,1,Received
1678138048.6874912,531,1,Received
1678138049.0288682,532,1,Received
1678138049.369715,538,1,Received
1678138049.711227,540,0,Received
1678138050.051538,545,0,Received
1678138050.39169,546,0,Send
1678138050.732152,547,0,Internal
1678138051.0681431,555,0,Received
1678138051.4086988,558,0,Received
1678138051.7452748,559,0,Send
1678138052.084417,567,0,Received
