timestamp,logical_clock_time,queue_length,event_type
1678133378.3217402,1,0,Received
1678133379.326837,2,1,Received
1678133380.3338938,3,1,Received
1678133381.339474,10,0,Received
1678133382.346048,11,0,Send
1678133383.351798,12,0,Internal
1678133384.3563159,24,0,Received
1678133385.361266,33,0,Received
1678133386.364518,35,1,Received
1678133387.3669481,39,0,Received
1678133388.372027,48,0,Received
1678133389.377578,50,0,Received
1678133390.3839302,51,0,Internal
1678133391.389864,60,2,Received
1678133392.393357,61,2,Received
1678133393.3982751,62,2,Received
1678133394.4034848,69,1,Received
1678133395.411137,70,1,Received
1678133396.417098,83,2,Received
1678133397.420481,88,1,Received
1678133398.424221,89,1,Received
1678133399.4279711,92,3,Received
1678133400.43598,99,3,Received
1678133401.443489,101,2,Received
1678133402.450401,102,4,Received
1678133403.4583948,105,4,Received
1678133404.464036,115,6,Received
1678133405.471204,116,7,Received
1678133406.478646,117,7,Received
1678133407.4855502,120,6,Received
1678133408.487355,124,7,Received
1678133409.493477,125,8,Received
1678133410.5005472,128,8,Received
1678133411.508663,133,8,Received
1678133412.5151732,134,8,Received
1678133413.520438,135,8,Received
1678133414.526356,144,9,Received
1678133415.531405,145,9,Received
1678133416.5361931,150,11,Received
1678133417.542818,152,10,Received
1678133418.548747,155,10,Received
1678133419.5535822,162,10,Received
1678133420.560874,165,11,Received
1678133421.567594,171,12,Received
1678133422.5749881,175,12,Received
1678133423.578036,177,12,Received
1678133424.5859342,181,12,Received
1678133425.593863,182,12,Received
1678133426.6017091,185,12,Received
1678133427.60966,186,12,Received
1678133428.616489,191,12,Received
1678133429.620588,199,13,Received
1678133430.626857,201,14,Received
1678133431.634172,202,15,Received
1678133432.641928,208,14,Received
1678133433.649596,210,13,Received
1678133434.652396,213,13,Received
1678133435.657059,220,12,Received
1678133436.6606998,223,11,Received
1678133437.668512,228,10,Received
